queue,rank,account,category,score,story,email,linkedin,tenure,subtitle,check_first,unknowns,seller_review_notes,message_1,message_2,message_3
Light Research,,Serv-U-Success,Corporate L&D / workforce development,59,Colliers Project Leaders,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion. | Clarify the organization’s business model and whether training is actually strategic for them.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Regaingo,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion. | Clarify the organization’s business model and whether training is actually strategic for them.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Plumstone,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion. | Clarify the organization’s business model and whether training is actually strategic for them.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Shainin ‚Äì The Red X Company,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,ITW Heartland,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Pillsbury,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Room & Board,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Grede Holdings,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Integrated Professional Cleaning,Corporate L&D / workforce development,59,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Mesaba Airlines,Corporate L&D / workforce development,59,Element Technical Services,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion. | Clarify the organization’s business model and whether training is actually strategic for them.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Coloplast,Healthcare / clinical education,59,British Society of Lifestyle Medicine,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the organization owns employee education, product training, or accredited learning programs.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Automated Benefit Services,Corporate L&D / workforce development,58,Money Management Institute,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Piper Sandler,Corporate L&D / workforce development,58,Money Management Institute,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
Light Research,,Role Whirlpool,Corporate L&D / workforce development,56,Dematic,,,,Research the account and likely buyer before drafting.,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion. | Validate that the account record points to the right operating entity before outreach.",Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown.,,,,
