queue,rank,account,category,score,story,email,linkedin,tenure,subtitle,check_first,unknowns,seller_review_notes,message_1,message_2,message_3
Work Now,11,Logan Aluminum,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,12,Kentucky Trailer,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,13,Road & Rail Services,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,14,Southeast Tube,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,15,Hercules Manufacturing,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,16,Advanced Shielding Technologies,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,17,Commonwealth Rolled Products,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,18,Nuplex Resins,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,19,Shorewood Packaging,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,20,Premier Packaging,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,21,Paschall Truck Lines,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,22,United Glass,Corporate L&D / workforce development,63,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,23,Tarter,Corporate L&D / workforce development,62,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,24,Greer Companies,Corporate L&D / workforce development,62,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
Work Now,25,Toyotetsu North America,Corporate L&D / workforce development,62,Dematic,Unavailable,Unavailable,Unknown,Contact title not identified • Buyer not identified,"Identify the most likely learning, training, L&D, enablement, or certification owner. | Confirm whether the account has a meaningful employee training, compliance, or partner-enablement motion.","Named buyer/contact is unknown. | Current learning platform ownership is unknown. | Current training volume and audience are unknown. | Whether the organization runs employee, member, partner, or customer education is unknown.","Find the right contact, keep the message light, and verify the story fit before send prep. | missing named contact | account level only record | story match is directional","Hi there -

This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?

Pat","This may be off-base, but manufacturing and operations teams usually end up piecing together onboarding, safety, and skills training across multiple groups. I work with teams using Brightspace to make that easier to scale and easier to manage. Dematic is one example: Dematic cut onboarding time from 12 months to 8 weeks. Worth a quick chat if that is relevant on your end?","We have seen industrial teams use Brightspace to tighten onboarding and skills development. Dematic, for example, shortened onboarding from 12 months to 8 weeks while expanding certification support."
